CTE(0.05,0.001,0.5)	Steer_value(0.05,0.001,0.5)	CTE(0.05,0.0001,0.5)	Steer_value(0.05,0.0001,0.5)	CTE(0.05,0.001,1)	Steer_value(0.05,0.001,1)	CTE(0.05,0.001, 0.7)	Steer_value(0.05,0.001, 0.7)	CTE(0.05,0.0001, 1)	Steer_value(0.05,0.0001, 1)	CTE(0.1,0.0001, 1)	Steer_value(0.1,0.0001, 1)
-0.0208	0.0063977	0.4409	-0.0143002	-0.1503	-0.0394844	-0.0615	-0.0143846	0.5072	-0.0899872	0.1698	-0.0053199
0.0151	-0.0508624	0.4357	-0.0273338	-0.1006	-0.0779688	-0.0552	-0.0336844	0.5457	-0.0741668	0.188	-0.0424587
0.0392	-0.0462066	0.4641	-0.0456002	-0.0504	-0.0809284	-0.0184	-0.056856	0.5653	-0.0563033	0.2397	-0.0811527
0.0614	-0.046428	0.4951	-0.0484997	-0.0119	-0.0711415	0.0175	-0.0580385	0.5741	-0.0460007	0.2828	-0.0768909
0.0764	-0.0436544	0.5212	-0.0474068	0.0084	-0.0539649	0.0457	-0.0541042	0.5698	-0.0327427	0.3183	-0.0728728
0.084	-0.0404184	0.5398	-0.0446408	0.0185	-0.0442884	0.0589	-0.0443231	0.5545	-0.0210332	0.3474	-0.0694175
0.0845	-0.0369779	0.5492	-0.0405657	0.0153	-0.0308437	0.0711	-0.0443042	0.5358	-0.0167518	0.3615	-0.0558637
0.0799	-0.0342778	0.5531	-0.038066	0.0016	-0.0196603	0.0722	-0.0366614	0.509	-0.00736265	0.3617	-0.0420198
0.0708	-0.0316436	0.5507	-0.0348511	-0.0155	-0.0153898	0.0658	-0.0311572	0.4799	-0.00365564	0.3496	-0.0285448
0.0542	-0.0271178	0.5415	-0.0310453	-0.0398	-0.006935	0.0518	-0.025189	0.4558	-0.00749622	0.3268	-0.0155975
0.0402	-0.027758	0.529	-0.0288232	-0.0616	-0.0082834	0.0282	-0.0173172	0.4331	-0.00780453	0.3021	-0.0112577
0.0157	-0.0212987	0.509	-0.024124	-0.0833	-0.0072151	0.0078	-0.018545	0.408	-0.00419033	0.2692	0.00020539
-0.0078	-0.0206159	0.4889	-0.0231179	-0.1081	-0.002767	-0.0184	-0.0131566	0.3854	-0.00559887	0.241	-0.00169871
-0.0383	-0.0155526	0.4615	-0.0181441	-0.1343	7.73E-05	-0.0414	-0.0142052	0.353	0.00578583	0.2088	0.00550041
-0.0651	-0.0159975	0.4365	-0.0181377	-0.1472	-0.0124305	-0.069	-0.0095362	0.3595	-0.0334751	0.1845	1.20E-05
-0.098	-0.0112045	0.4049	-0.0132982	-0.1731	0.0020376	-0.0917	-0.0117395	0.4396	-0.111124	0.1598	0.00286598
-0.1644	0.0090299	0.3444	0.00414233	-0.1518	-0.0460756	-0.1135	-0.011166	0.531	-0.127047	0.1282	0.0129132
-0.1783	-0.0163468	0.3379	-0.0225665	-0.0487	-0.132982	-0.1341	-0.0108419	0.6264	-0.13588	0.1439	-0.0359712
-0.1353	-0.0468115	0.3842	-0.0513199	0.0442	-0.127471	-0.1183	-0.0369936	0.685	-0.102078	0.2074	-0.090142
-0.0453	-0.0747662	0.4708	-0.075847	0.1368	-0.131938	-0.045	-0.0808636	0.7256	-0.0861809	0.2845	-0.11148
0.0268	-0.069448	0.5386	-0.0698908	0.1912	-0.0966491	0.0483	-0.0995769	0.7355	-0.0560494	0.3735	-0.132318
0.0913	-0.0689643	0.6079	-0.0741666	0.2231	-0.0759672	0.1308	-0.0962727	0.7237	-0.0338318	0.4479	-0.125203
0.1649	-0.0773592	0.6542	-0.065047	0.234	-0.0557462	0.1842	-0.0787569	0.6922	-0.012626	0.5107	-0.119934
0.2048	-0.062709	0.6947	-0.0642415	0.2247	-0.0353059	0.2274	-0.0740043	0.6477	0.00253421	0.5383	-0.0875475
0.2324	-0.0581714	0.7161	-0.0558331	0.1956	-0.0142465	0.2489	-0.0601382	0.6058	0.00196863	0.5414	-0.0634116
0.2501	-0.0543565	0.727	-0.0512008	0.1607	-0.0068622	0.2513	-0.0471395	0.5555	0.0128281	0.5163	-0.0327532
0.2533	-0.0475198	0.7228	-0.0435131	0.113	0.0082098	0.2413	-0.0382008	0.5005	0.020228	0.4787	-0.0165411
0.2439	-0.0409937	0.705	-0.0358936	0.0632	0.0127366	0.2164	-0.0267422	0.4729	-0.00583926	0.4212	0.00906678
0.222	-0.0338707	0.6753	-0.0285261	0.0162	0.0122704	0.1803	-0.0172775	0.4618	-0.0218304	0.3564	0.0228111
0.1893	-0.027025	0.636	-0.0218247	-0.0229	0.0063483	0.1443	-0.0156918	0.4836	-0.0558688	0.292	0.0288219
0.1482	-0.0209182	0.5921	-0.0173889	-0.0179	-0.0379838	0.0889	0.0005693	0.5098	-0.0616298	0.234	0.0281985
0.1247	-0.0286679	0.5765	-0.0308166	0.0091	-0.0613429	0.0544	-0.0123901	0.5286	-0.0552226	0.2035	0.00372819
0.1227	-0.0394406	0.5748	-0.0377391	0.0335	-0.0599964	0.045	-0.0295351	0.5416	-0.0501268	0.2109	-0.0349329
0.1189	-0.0384695	0.5692	-0.035566	0.0563	-0.0595927	0.05	-0.0399151	0.5435	-0.0391762	0.2323	-0.0510961
0.1087	-0.0348682	0.56	-0.033362	0.0671	-0.0481998	0.054	-0.0394691	0.5365	-0.0299798	0.2603	-0.0605222
