CTE-0.12-0.005-2.1	SteerValue-0.12-0.005-2.1	CTE-0.12-0.003-2.1	SteerValue-0.12-0.003-2.1	CTE-0.12-0.002-2.1	SteerValue-0.12-0.002-2.1
-0.0194	0.171872	-0.0928	0.0522636	-0.1479	0.054158
-0.0845	0.103246	-0.0543	-0.112843	-0.0929	-0.141676
-0.116	0.037046	0.0673	-0.302147	0.0291	-0.297074
-0.0508	-0.173594	0.1484	-0.227275	0.1739	-0.362678
0.0545	-0.270712	0.2223	-0.221689	0.2499	-0.227818
0.1462	-0.253887	0.2319	-0.0885072	0.2546	-0.0791612
0.2037	-0.189986	0.1816	0.042774	0.1961	0.0601866
0.197	-0.055347	0.1023	0.112883	0.1052	0.138924
0.1301	0.0784505	-0.0052	0.185019	0.0064	0.167357
0.0439	0.129105	-0.0808	0.127343	-0.0995	0.195174
-0.0456	0.147003	-0.1168	0.0488535	-0.1607	0.10897
-0.1297	0.146404	0.0665	-0.433872	0.04	-0.465184
-0.1523	0.020727	0.2564	-0.471289	0.2402	-0.488639
0.0582	-0.494334	0.4179	-0.432283	0.4259	-0.481324
0.2474	-0.473545	0.4966	-0.269337	0.485	-0.223526
0.4027	-0.423004	0.473	-0.0530937	0.451	-0.0248384
0.4713	-0.251523	0.3734	0.117338	0.3548	0.116616
0.4355	-0.0301645	0.2327	0.219834	0.2335	0.183415
0.3241	0.140343	0.062	0.303132	0.0928	0.240853
0.1759	0.234528	-0.0504	0.194341	0.0049	0.140512
0.0038	0.305351	-0.1102	0.0913878	-0.0399	0.0554574
-0.1015	0.178214	-0.1166	-0.0196344	-0.0461	-0.0247664
-0.1525	0.0710665	-0.0843	-0.104527	-0.0309	-0.0714686
-0.1395	-0.064196	-0.021	-0.17716	0.005	-0.119257
-0.0947	-0.135878	0.0294	-0.156207	0.0338	-0.10787
-0.0422	-0.158137	0.0607	-0.120035	0.0501	-0.0836764
-0.0008	-0.139791	0.0653	-0.0647127	0.0482	-0.0453248
0.0193	-0.09757	0.045	-0.0101217	0.0298	-0.0085264
0.0157	-0.0474465	0.0835	-0.138472	0.0872	-0.174769
-0.0099	0.001875	0.1265	-0.153462	0.0695	-0.0150738
0.0494	-0.183778	0.2088	-0.246494	0.1604	-0.254363
0.0791	-0.125577	0.2681	-0.206114	0.2356	-0.230888
0.159	-0.24138	0.268	-0.0821664	0.2794	-0.170763
0.2156	-0.200321	0.2036	0.0599808	0.2751	-0.0697868
0.2105	-0.071191	0.1102	0.131758	0.2151	0.053953
0.1561	0.0380865	-0.0199	0.2245	0.1362	0.102839
0.0741	0.105516	0.0807	-0.272284	0.0731	0.0770844
-0.0123	0.125186	0.2686	-0.478968	0.1594	-0.24733
0.0719	-0.243538	0.4068	-0.392402	0.3282	-0.441493
0.1893	-0.328292	0.4677	-0.238784	0.4412	-0.338755
0.3191	-0.371504	0.4294	-0.0271557	0.4854	-0.20055
0.4011	-0.282969	0.3513	0.0647424	0.4527	-0.0360414
0.3893	-0.08652	0.2254	0.179554	0.3376	0.150135
0.3077	0.0683135	0.0939	0.206813	0.2102	0.190833
0.1539	0.23762	-0.037	0.221371	0.0879	0.194623
0.0445	0.157286	-0.0999	0.0864192	-0.005	0.144041
-0.0847	0.214793	0.0454	-0.368373	-0.0612	0.0738376
-0.1427	0.0729465	0.34	-0.718275	0.1347	-0.47935
-0.037	-0.283322	0.5159	-0.491661	0.3895	-0.634395
0.2019	-0.59272	0.6722	-0.471273	0.6194	-0.610932
0.4136	-0.563072	0.6915	-0.187964	0.7561	-0.433128
0.5396	-0.40092	0.6183	0.0132153	0.7759	-0.191566
0.5452	-0.151478	0.4889	0.145297	0.6939	0.0306666
0.4474	0.075161	0.3702	0.13596	0.5471	0.183268
0.296	0.204409	0.3703	-0.114643	0.4023	0.19564
0.1639	0.178912	0.4216	-0.229584	0.3772	-0.0534726
0.1556	-0.0808505	0.4565	-0.200701	0.404	-0.166487
0.1984	-0.194288	0.4561	-0.127891	0.4399	-0.190784
0.2391	-0.195958	0.4055	-0.017616	0.4568	-0.153826
0.2506	-0.137271	0.3285	0.0460785	0.437	-0.075254
0.2309	-0.0705415	0.2361	0.0887982	0.4002	-0.0359384
0.1791	0.002189	0.1441	0.0985659	0.3359	0.0288558
0.1059	0.0553835	0.0636	0.0838851	0.2593	0.0633592
0.024	0.0833615	0.0015	0.0526926	0.181	0.0759632
-0.0543	0.085469	-0.0406	0.0158664	0.1109	0.0669334
-0.1305	0.0908555	-0.0593	-0.0308517	0.0549	0.0439336
-0.1739	0.028053	0.2206	-0.692162	0.0171	0.0102154
-0.1488	-0.118065	0.5356	-0.805278	0.157	-0.380057
0.1406	-0.708526	0.8033	-0.740482	0.5183	-0.889389
0.454	-0.798804	0.9566	-0.521508	0.718	-0.575429
0.7076	-0.707194	0.9724	-0.237571	0.8771	-0.511015
0.8385	-0.469424	0.8774	0.0038766	0.9136	-0.259763
0.8283	-0.176032	0.7105	0.172763	0.833	-0.0058466
0.7039	0.0751965	0.5166	0.251181	0.6853	0.151417
0.5137	0.233632	0.3346	0.247027	0.5093	0.230948
0.3059	0.293999	0.2673	0.0134316	0.3468	0.221405
0.1316	0.243907	0.2887	-0.176273	0.2748	0.039445
0.1022	-0.0573665	0.3213	-0.204668	0.3138	-0.198963
0.1406	-0.205057	0.3411	-0.181188	0.3721	-0.247233
0.2024	-0.262625	0.331	-0.118179	0.4169	-0.225093
0.2231	-0.179915	0.2902	-0.0496833	0.424	-0.147623
0.2139	-0.11709	0.2244	0.0100395	0.3934	-0.0655674
0.1686	-0.0366875	0.2153	-0.108584	0.3326	0.0044834
0.1032	0.0128545	0.4109	-0.563159	0.3013	-0.0543132
0.1893	-0.316574	0.5094	-0.372597	0.4478	-0.446169
0.3344	-0.459558	0.6133	-0.398245	0.6189	-0.519599
0.4802	-0.480925	0.6359	-0.232135	0.7374	-0.424833
0.553	-0.339126	0.5868	-0.0774333	0.7645	-0.237674
0.5291	-0.135833	0.48	0.0551127	0.7057	-0.0516398
0.4043	0.089011	0.3134	0.199744	0.5861	0.08922
0.2533	0.160885	0.1728	0.161498	0.4384	0.165077
0.1017	0.179828	0.0399	0.161156	0.295	0.172665
-0.0288	0.151322	-0.0375	0.0540069	0.1718	0.144686
-0.1459	0.137964	-0.0834	-0.0063849	0.0775	0.0951566
-0.1991	0.011153	-0.1089	-0.0458382	0.0128	0.040735
-0.2425	-0.0030065	-0.092	-0.13663	-0.0262	-0.0085026
-0.2499	-0.076469	0.1085	-0.546576	-0.0343	-0.072352
-0.0887	-0.449429	0.3297	-0.617579	0.1579	-0.516362
0.194	-0.739473	0.5107	-0.556411	0.3922	-0.633672
0.3402	-0.472068	0.5457	-0.255648	0.5756	-0.549941
0.431	-0.368779	0.4541	0.0198417	0.661	-0.355711
0.3982	-0.107274	0.3097	0.147121	0.62	-0.0865914
0.2603	0.128682	0.1217	0.260875	0.5008	0.090931
0.0742	0.251863	-0.0435	0.23295	0.311	0.261345
-0.0425	0.12034	-0.1395	0.0995685	0.1204	0.285656
-0.1766	0.173855	-0.1976	0.0275433	-0.0197	0.196458
-0.2714	0.104058	-0.1591	-0.179459	-0.0838	0.0447172
-0.3062	-0.0162355	-0.0302	-0.384677	-0.0887	-0.0788374
-0.1914	-0.343214	0.0606	-0.315745	0.0084	-0.304706
-0.0887	-0.329685	0.0969	-0.205941	0.1107	-0.328124
-0.0169	-0.273326	0.0662	-0.0617559	0.1892	-0.287942
-0.0023	-0.154947	-0.028	0.0829821	0.1975	-0.141913
-0.0431	-0.0334955	-0.1553	0.168234	0.1557	-0.0319984
-0.1356	0.0868525	-0.1522	-0.105521	0.0608	0.090778
-0.1887	0.011428	-0.0559	-0.31263	-0.0931	0.233332
-0.0965	-0.304283	0.0212	-0.281625	0.0252	-0.352534
-0.0119	-0.298416	0.0606	-0.207365	0.1503	-0.382127
0.0454	-0.248189	0.0285	-0.0534486	0.2317	-0.300588
0.0266	-0.086256	-0.0622	0.080682	0.2223	-0.109225
-0.06	0.066816	-0.1597	0.107141	0.1329	0.0692374
-0.1632	0.114876	-0.268	0.143621	0.0254	0.120097
-0.289	0.178877	-0.3404	0.0779403	-0.104	0.181823
-0.3767	0.111275	-0.3957	0.0498534	-0.2073	0.139823
-0.4443	0.079398	-0.4181	-0.0152943	-0.2622	0.0452956
-0.4705	-0.0020455	-0.4235	-0.0490758	-0.2914	-0.0045876
-0.4672	-0.0620555	-0.4188	-0.0695934	-0.2917	-0.0646582
-0.4462	-0.0995145	-0.4141	-0.0689151	-0.2821	-0.086036
-0.428	-0.0936785	-0.3435	-0.214747	-0.2757	-0.0795326
-0.349	-0.229093	-0.2362	-0.303984	-0.2714	-0.0750958
-0.2358	-0.313318	-0.1541	-0.260454	-0.1964	-0.232173
-0.1515	-0.261987	-0.1198	-0.16383	-0.106	-0.275149
-0.118	-0.158737	-0.1467	-0.0316422	-0.0363	-0.23997
-0.1604	0.006543	-0.2332	0.104597	-0.0287	-0.110415
-0.2605	0.141028	-0.3457	0.173734	-0.0797	0.0189244
-0.3795	0.196895	-0.4308	0.127699	-0.1558	0.081078
-0.4628	0.134235	-0.4885	0.0785484	-0.2413	0.111561
-0.5144	0.076429	-0.5217	0.0326475	-0.3315	0.132918
-0.533	0.012026	-0.4749	-0.139544	-0.3957	0.086813
-0.4487	-0.211936	-0.3325	-0.356394	-0.4218	0.0107786
-0.3176	-0.32436	-0.2206	-0.305111	-0.3649	-0.16962
-0.1906	-0.330037	-0.1536	-0.2184	-0.2481	-0.308929
-0.1399	-0.175192	-0.1498	-0.0856863	-0.1403	-0.302685
