CTE-0.12-0.009-1.8	SteerValue-0.12-0.009-1.8	CTE-0.12-0.009-1.8-NoBreak	SteerValue-0.12-0.009-1.8-NoBreak
0.1106	-0.040644	-0.0077	0.0414987
0.0825	-0.0070845	-0.0154	-0.0337587
0.0519	0.000828	0.0135	-0.103228
0.0091	0.0278785	0.044	-0.110164
-0.0259	0.018168	0.0734	-0.112373
-0.0843	0.0677175	0.0861	-0.0846117
0.0827	-0.358456	0.0786	-0.0480591
0.2278	-0.337587	0.0595	-0.0254226
0.3133	-0.242134	0.032	-0.0072906
0.3589	-0.17758	-0.0007	0.0059997
0.3425	-0.0657245	-0.0449	0.0324078
0.2937	-0.003017	-0.0805	0.0219243
0.2058	0.076882	-0.0731	-0.0557058
0.1246	0.073943	0.0484	-0.276101
0.0269	0.115233	0.1804	-0.312465
-0.0431	0.073988	0.2571	-0.224443
-0.0997	0.0571585	0.2972	-0.16605
-0.1434	0.0398995	0.2887	-0.080148
-0.1805	0.033374	0.2365	0.0026475
-0.1996	0.004264	0.1513	0.0709098
-0.2022	-0.024113	0.0722	0.068772
-0.1928	-0.045877	-0.005	0.074661
-0.1809	-0.0509005	-0.0762	0.0730908
-0.166	-0.0572585	-0.1524	0.0926064
-0.1613	-0.038656	-0.2005	0.0496029
-0.0529	-0.238059	-0.2401	0.0412158
0.0726	-0.284262	-0.2575	0.0056613
0.1739	-0.253728	-0.2555	-0.0271992
0.2495	-0.217787	-0.2385	-0.0540927
0.2663	-0.115295	-0.2135	-0.0695712
0.2388	-0.033449	-0.1872	-0.0733824
0.1647	0.0584995	-0.1051	-0.182729
0.0867	0.074446	0.0643	-0.360775
0.0543	-0.0040175	0.2092	-0.335946
0.1388	-0.225271	0.2947	-0.241938
0.2466	-0.281381	0.302	-0.104772
0.3093	-0.209271	0.2162	0.0711579
0.3365	-0.150317	0.0563	0.223219
0.3251	-0.081095	-0.0001	0.0436881
0.2689	0.0049445	0.0833	-0.21871
0.2007	0.033725	0.2138	-0.321074
0.1006	0.102654	0.2982	-0.250906
-0.0028	0.121016	0.3242	-0.151823
-0.0764	0.07659	0.2878	-0.0377256
0.0194	-0.239923	0.1784	0.105197
0.1833	-0.383087	0.056	0.142781
0.3286	-0.368687	-0.0631	0.151701
0.4305	-0.304947	-0.0713	-0.0462936
0.4828	-0.224357	0.1212	-0.431744
0.4834	-0.133786	0.3216	-0.472907
0.4209	-0.0148105	0.4662	-0.394015
0.3354	0.0351725	0.5152	-0.232451
0.3078	-0.0672745	0.4434	-0.010386
0.3339	-0.168736	0.2971	0.138596
0.3558	-0.165583	0.2161	0.0288312
0.3461	-0.109269	0.2126	-0.112162
0.3008	-0.0412575	0.209	-0.113431
0.2424	-0.0118815	0.1942	-0.093243
0.1723	0.016729	0.1546	-0.0452424
0.0956	0.037335	0.0936	-0.0002448
-0.0022	0.087062	0.0176	0.0357168
-0.0953	0.0902505	-0.0655	0.0590583
-0.1727	0.072142	-0.1451	0.0636162
-0.2189	0.0226205	-0.2254	0.0765408
-0.0937	-0.300455	-0.2727	0.0252711
0.239	-0.715074	-0.1568	-0.280986
0.4816	-0.584414	0.2551	-0.86551
0.7309	-0.630045	0.5651	-0.724376
0.7941	-0.306619	0.8035	-0.631335
0.7697	-0.149859	0.8346	-0.269438
0.6531	0.026827	0.7094	0.020541
0.5148	0.079909	0.4778	0.235553
0.3615	0.123498	0.2041	0.34234
0.2417	0.076365	0.0479	0.149153
0.2025	-0.0650235	-0.0181	-0.0051243
0.1831	-0.099251	-0.0374	-0.0865317
0.1575	-0.0858065	-0.036	-0.123636
0.1272	-0.0743465	-0.0352	-0.122335
0.0878	-0.0536775	-0.0441	-0.10341
0.0267	-0.007419	-0.0473	-0.11286
-0.0596	0.048595	0.2356	-0.663909
0.1636	-0.536107	0.4697	-0.608388
0.3418	-0.4782	0.6135	-0.468626
0.4986	-0.460989	0.6127	-0.213764
0.5508	-0.281727	0.5484	-0.0966834
0.5094	-0.110826	0.3803	0.106906
0.3871	0.0475345	0.1561	0.233385
0.2558	0.0782115	-0.1316	0.383393
0.0819	0.17535	-0.303	0.197348
-0.0547	0.124876	-0.4806	0.234146
-0.2032	0.165132	-0.5533	0.0590295
-0.3029	0.09077	-0.4049	-0.353114
-0.3813	0.0637445	-0.0301	-0.805339
-0.4377	0.033101	0.2584	-0.686945
-0.3199	-0.292995	0.4571	-0.553263
-0.1357	-0.433941	0.5192	-0.319508
0.1066	-0.56813	0.4284	-0.0372474
0.211	-0.333493	0.2389	0.161002
0.2469	-0.215735	-0.045	0.365395
0.1996	-0.0612975	-0.2745	0.297486
0.0926	0.0585395	-0.4308	0.188359
-0.0469	0.134014	-0.423	-0.10415
-0.1916	0.161696	-0.3721	-0.184489
-0.2968	0.104704	-0.2799	-0.267374
-0.4004	0.116258	-0.2116	-0.230645
-0.3986	-0.071685	-0.1988	-0.130492
-0.3487	-0.162509	-0.226	-0.0531942
-0.3064	-0.152373	-0.124	-0.296878
-0.2719	-0.141114	-0.0145	-0.323388
-0.262	-0.096712	0.0308	-0.213541
-0.2722	-0.057947	-0.0242	-0.0261831
-0.3051	-0.0116135	-0.1363	0.0912756
-0.2672	-0.142265	-0.2773	0.162711
-0.1493	-0.299667	-0.4744	0.291613
-0.0535	-0.271115	-0.5652	0.116256
-0.0136	-0.175215	-0.6343	0.0911964
-0.0149	-0.100825	-0.6394	-0.017637
-0.0624	-0.011653	-0.5948	-0.107096
