CTE-0.12-0.005-2.1	SteerValue-0.12-0.005-2.1	CTE-0.12-0.005-2	SteerValue-0.12-0.005-2	CTE-0.12-0.005-1.8	SteerValue-0.12-0.005-1.8
0.0877	0.0223305	0.0762	0.0179155	0.0976	0.0178095
0.0663	0.016167	0.0619	-0.000678	0.0756	0.0042315
0.0548	-0.003517	0.0525	-0.0096125	0.0557	0.002561
0.0521	-0.0219335	0.0499	-0.02315	0.0418	-0.00678
0.0558	-0.0360965	0.0502	-0.029237	0.0345	-0.0179565
0.0596	-0.0370605	0.0519	-0.0325005	0.029	-0.0206815
0.0619	-0.034496	0.0519	-0.02936	0.0267	-0.026299
0.0602	-0.026193	0.0552	-0.036632	0.0255	-0.0282625
0.0759	-0.0649965	0.0889	-0.101921	0.054	-0.0854125
0.1215	-0.133866	0.1354	-0.133777	0.1098	-0.141798
0.1682	-0.142621	0.178	-0.131979	0.1482	-0.115827
0.1926	-0.099682	0.1933	-0.080182	0.1703	-0.08999
0.1889	-0.0411725	0.1779	-0.0178235	0.1637	-0.0383565
0.1593	0.015973	0.1296	0.0531245	0.1334	0.0072725
0.1229	0.0340065	0.088	0.0442765	0.0959	0.024253
0.0775	0.057967	0.0526	0.0358615	0.0406	0.062726
0.034	0.059027	0.0265	0.020261	0.0119	0.0182305
0.0154	0.008892	0.0073	0.0087285	-0.0188	0.0256085
0.0112	-0.0209	-0.0002	-0.0137705	-0.0391	0.00952
0.0182	-0.045351	0.0007	-0.030682	-0.0437	-0.0179695
0.0281	-0.0527695	0.0052	-0.038448	-0.0412	-0.0308435
0.0374	-0.0528125	0.0112	-0.042224	-0.0335	-0.04096
0.0402	-0.0396995	0.0141	-0.0364425	-0.0258	-0.041755
0.0358	-0.0242305	0.0077	-0.017113	-0.0217	-0.0356585
0.0261	-0.012067	0.0382	-0.094764	-0.0219	-0.027785
0.0489	-0.0832975	0.106	-0.17803	0.0244	-0.117163
0.1183	-0.190077	0.1905	-0.222523	0.1065	-0.191988
0.2073	-0.242954	0.2371	-0.1535	0.1811	-0.188345
0.2554	-0.164113	0.2288	-0.043848	0.2336	-0.156033
0.2579	-0.069942	0.1837	0.0342455	0.2396	-0.074251
0.2056	0.050386	0.1039	0.112702	0.2034	0.005036
0.1218	0.125983	0.035	0.098995	0.1333	0.0738015
0.0508	0.107369	-0.0293	0.0976575	0.0531	0.10134
-0.0175	0.109982	-0.0638	0.0425165	-0.0052	0.068942
-0.037	0.0100275	-0.0676	-0.0180895	-0.0516	0.053348
-0.037	-0.0307375	-0.0524	-0.0576515	-0.0721	0.0095485
-0.0156	-0.0781675	-0.0168	-0.10264	-0.0685	-0.033921
0.0139	-0.098787	0.0138	-0.0963805	-0.0427	-0.0767635
0.0465	-0.109441	0.0523	-0.117062	0.0043	-0.120585
0.0908	-0.139782	0.1058	-0.154011	0.0558	-0.135144
0.115	-0.101051	0.1216	-0.081115	0.1029	-0.133391
0.1242	-0.0712755	0.1064	-0.017823	0.118	-0.0781925
0.1082	-0.0169765	0.0717	0.0249825	0.0969	-0.010985
0.0673	0.039885	0.0162	0.0731615	0.0552	0.030823
0.0146	0.070916	-0.03	0.0602555	-0.0078	0.076762
-0.0263	0.0511755	-0.0664	0.0453555	-0.069	0.081211
-0.0635	0.048187	-0.0911	0.025375	-0.1144	0.058791
-0.0734	-0.007588	-0.095	-0.015282	-0.1341	0.0155655
-0.0662	-0.044031	-0.0847	-0.0444945	-0.1271	-0.032699
-0.0504	-0.063735	-0.0651	-0.065121	-0.1004	-0.070861
-0.046	-0.040093	0.0573	-0.285695	-0.0072	-0.201709
0.0803	-0.31164	0.189	-0.321045	0.1554	-0.346918
0.2104	-0.336284	0.2419	-0.171002	0.2712	-0.27793
0.2726	-0.202522	0.2481	-0.0795865	0.304	-0.133986
0.2607	-0.046787	0.1846	0.0665105	0.2619	0.0045765
0.1696	0.129617	0.0781	0.1649	0.1589	0.125762
0.0325	0.242506	-0.0325	0.186535	0.054	0.1415
-0.0938	0.235452	-0.0997	0.108297	-0.043	0.139135
-0.1638	0.126441	-0.1303	0.0394205	-0.1278	0.12799
-0.17	-0.0059455	-0.1288	-0.0243155	-0.1722	0.061459
-0.1291	-0.109118	-0.0961	-0.090159	-0.1685	-0.0247225
-0.0714	-0.150965	-0.0485	-0.125428	-0.1314	-0.0886375
-0.0137	-0.157821	-0.0068	-0.118598	-0.0962	-0.0889605
0.0265	-0.126027	0.0109	-0.072777	-0.0464	-0.120985
0.0418	-0.075782	0.0059	-0.0268065	-0.0101	-0.10099
0.0257	-0.0080385	-0.0171	0.012039	0.0018	-0.058507
-0.0214	0.0628205	-0.0521	0.0404995	-0.0055	-0.0230435
-0.087	0.109977	-0.006	-0.127202	0.0511	-0.145111
-0.0521	-0.105	0.1101	-0.281685	0.1058	-0.148784
0.0895	-0.34651	0.2174	-0.278048	0.2115	-0.254326
0.1828	-0.25719	0.2903	-0.219447	0.2741	-0.185628
0.2632	-0.241064	0.2799	-0.052999	0.2751	-0.0762435
0.2648	-0.0770995	0.2103	0.0727015	0.2279	0.015041
0.212	0.0424165	0.1048	0.156637	0.1291	0.119131
0.1006	0.178341	-0.0076	0.183964	0.0142	0.161828
-0.002	0.172183	-0.1172	0.192102	-0.0717	0.120295
-0.0988	0.172114	-0.164	0.0729375	-0.1331	0.0842285
-0.1408	0.0627775	-0.0695	-0.220655	-0.0934	-0.102049
-0.0754	-0.170234	0.0511	-0.287583	0.0406	-0.288072
0.07	-0.356032	0.1559	-0.269338	0.1184	-0.19684
0.1838	-0.304246	0.2221	-0.201192	0.1904	-0.195992
0.2565	-0.227943	0.2165	-0.058003	0.2037	-0.092946
0.2495	-0.0609805	0.1409	0.0903645	0.1646	0.005243
0.171	0.0977345	0.0148	0.206422	0.0961	0.0659025
0.0715	0.153417	-0.1172	0.234649	-0.0051	0.136932
-0.0429	0.19865	-0.2035	0.154622	-0.0856	0.10976
-0.113	0.114597	-0.011	-0.426023	-0.0576	-0.088612
-0.0569	-0.156871	0.1846	-0.456618	0.0785	-0.299917
0.1181	-0.428152	0.3693	-0.458829	0.2455	-0.376804
0.3253	-0.522262	0.4792	-0.324813	0.3404	-0.260114
0.4338	-0.330181	0.492	-0.134608	0.3619	-0.132384
0.4482	-0.13654	0.3893	0.106769	0.3027	0.018467
0.3545	0.0999415	0.2416	0.213285	0.1946	0.118486
0.2199	0.200884	0.0897	0.239465	0.0437	0.213415
0.0729	0.2442	-0.0341	0.198291	-0.051	0.123874
-0.0723	0.258205	-0.1252	0.144449	-0.14	0.124994
-0.1474	0.120744	-0.1486	0.0126	-0.1939	0.069252
-0.1689	0.0116085	-0.1332	-0.066182	-0.215	0.013819
-0.1449	-0.086097	-0.0936	-0.118866	-0.2062	-0.040026
-0.0841	-0.170253	-0.0492	-0.133548	-0.1765	-0.0803275
-0.0302	-0.162079	-0.0127	-0.122065	-0.1373	-0.101445
0.0077	-0.133066	0.0061	-0.088951	-0.0998	-0.102386
0.02	-0.080882	0.0586	-0.162944	-0.0726	-0.086747
0.0012	-0.013322	0.0447	-0.0286995	0.0636	-0.299609
0.1181	-0.31291	0.1639	-0.310023	0.1104	-0.144857
0.0371	0.112214	0.2383	-0.230543	0.2142	-0.260984
0.0936	-0.183784	0.2615	-0.132234	0.2714	-0.185325
0.1295	-0.14548	0.214	0.013796	0.2723	-0.0854545
0.1398	-0.0936545	0.1288	0.098776	0.2129	0.029149
0.1128	-0.0126485	0.0082	0.184007	0.1148	0.110007
0.0717	0.021535	-0.0367	0.0381785	-0.0083	0.16982
-0.0053	0.106191	0.0954	-0.332151	0.0514	-0.166641
-0.0066	-0.0525895	0.2482	-0.393127	0.174	-0.295443
0.1362	-0.373016	0.3607	-0.327831	0.2946	-0.307787
0.2794	-0.392437	0.3998	-0.187722	0.3784	-0.253496
0.3903	-0.339867	0.3645	-0.0365085	0.3786	-0.104932
0.3983	-0.126729	0.27	0.0918815	0.2952	0.0540795
0.3497	-0.003785	0.1426	0.172257	0.1778	0.128478
0.2454	0.124474	0.0117	0.194906	0.0498	0.162669
0.1235	0.175445	-0.1162	0.204835	-0.0669	0.156668
0.0112	0.168704	-0.1492	0.019741	-0.0686	-0.049785
-0.075	0.124613	0.0511	-0.471151	0.1341	-0.4427
-0.1203	0.044761	0.2899	-0.578256	0.3548	-0.503358
0.0403	-0.407103	0.4822	-0.510743	0.5349	-0.454564
0.2808	-0.605156	0.5762	-0.328304	0.6237	-0.303999
0.4933	-0.574323	0.5665	-0.122572	0.602	-0.105504
0.6154	-0.402212	0.476	0.0475075	0.4967	0.055128
0.6253	-0.170907	0.3394	0.154402	0.4003	0.0486745
0.539	0.0387745	0.2614	0.0452555	0.388	-0.10317
0.3591	0.255127	0.2866	-0.165601	0.38	-0.11185
0.2278	0.167684	0.3356	-0.220759	0.3535	-0.077137
0.2227	-0.0978375	0.3578	-0.171613	0.3179	-0.0580745
0.2656	-0.205113	0.3376	-0.0860765	0.256	-0.0045865
0.3117	-0.218924	0.2817	-0.009377	0.1622	0.0632785
0.3316	-0.16795	0.1991	0.0529395	0.0939	0.025105
0.315	-0.090883	0.1037	0.089469	-0.0007	0.0838005
0.2639	-0.0136205	-0.0081	0.135725	-0.0698	0.0465415
0.1878	0.0470725	-0.087	0.0798285	-0.1221	0.023188
0.0996	0.0825685	-0.1319	0.017876	-0.0783	-0.154657
0.0125	0.090648	-0.1503	-0.0321645	0.233	-0.674678
-0.063	0.075663	0.1321	-0.668313	0.54	-0.706478
-0.1211	0.0467005	0.3879	-0.647749	0.765	-0.589703
-0.1529	-0.003949	0.6604	-0.71715	0.8574	-0.366398
0.0416	-0.502727	0.8397	-0.556465	0.8186	-0.129674
0.3512	-0.783345	0.8406	-0.203976	0.7145	-0.003215
0.6182	-0.729016	0.723	0.043521	0.5302	0.16061
0.7782	-0.527407	0.5382	0.197406	0.317	0.236629
0.8024	-0.249143	0.33	0.26754	0.1682	0.137724
0.7091	0.0052575	0.1801	0.168028	0.1313	-0.0599245
0.5414	0.178914	0.1244	-0.0143105	0.1285	-0.121611
0.3452	0.260583	0.1277	-0.133345	0.1352	-0.140191
0.16	0.258907	0.1454	-0.164996	0.1309	-0.12053
0.0705	0.068324	0.1533	-0.14711	0.1003	-0.070019
0.1047	-0.196074	0.1387	-0.101052	0.0739	-0.0747805
0.1626	-0.253604	0.0994	-0.047433	0.1315	-0.23355
0.2022	-0.220938	0.0391	0.0016075	0.3405	-0.532853
0.2039	-0.142571	0.085	-0.216725	0.5498	-0.561257
0.1686	-0.061478	0.2752	-0.529525	0.6218	-0.325867
0.1192	-0.026536	0.4447	-0.510689	0.5957	-0.149133
0.1138	-0.118857	0.5399	-0.376213	0.4781	0.0272885
0.2785	-0.497224	0.5235	-0.153662	0.3098	0.137195
0.4364	-0.504074	0.446	-0.024392	0.1247	0.189024
0.5111	-0.340873	0.3043	0.11949	-0.0522	0.195753
0.5118	-0.188116	0.1048	0.258506	-0.2256	0.211389
0.4312	-0.00987	-0.088	0.268682	-0.3283	0.0980945
0.3005	0.109522	-0.208	0.138522	-0.3862	0.0263335
0.1491	0.170414	-0.2862	0.0657375	-0.3152	-0.212631
-0.0238	0.236431	-0.3043	-0.050769	-0.0084	-0.673844
-0.1427	0.138013	-0.2657	-0.167473	0.2408	-0.601272
-0.233	0.0899535	0.0215	-0.699244	0.4209	-0.500609
-0.271	-0.0139615	0.2701	-0.653227	0.4883	-0.308279
-0.2836	-0.0643715	0.4527	-0.545402	0.4298	-0.0767875
-0.2014	-0.272309	0.521	-0.327603	0.2911	0.082761
0.0321	-0.618219	0.4819	-0.11052	0.0786	0.240708
0.3115	-0.749695	0.3638	0.0598325	-0.1028	0.20701
0.3929	-0.345627	0.169	0.235763	-0.2836	0.229044
0.3643	-0.113016	-0.0314	0.271169	-0.3567	0.0457395
0.2385	0.105007	-0.1672	0.1591	-0.3045	-0.184542
0.0795	0.19341	-0.2706	0.108062	-0.2209	-0.24999
-0.1112	0.28342	-0.2577	-0.124798	-0.1321	-0.269345
-0.2422	0.174981	-0.1385	-0.351009	-0.0948	-0.180647
-0.3439	0.127374	-0.0426	-0.315704	-0.1096	-0.084543
-0.3904	0.018986	0.0064	-0.227816	-0.1828	0.030275
-0.3344	-0.201312	0.0013	-0.119011	-0.102	-0.256111
-0.2006	-0.379745	-0.0643	0.0101825	-0.0194	-0.269166
-0.0942	-0.334502	-0.1744	0.113267	0.0223	-0.200662
-0.0637	-0.178453	-0.1427	-0.173424	0.0001	-0.082978
-0.0913	-0.052675	-0.0669	-0.270385	-0.0883	0.0472315
-0.1607	0.0442365	-0.0029	-0.254451	-0.2223	0.146503
-0.2697	0.141825	0.0038	-0.140674	-0.3671	0.185154
-0.2436	-0.143799	-0.0491	-0.0148805	-0.4671	0.11885
-0.153	-0.289356	-0.1509	0.09589	-0.534	0.069968
-0.0539	-0.318828	-0.2759	0.158669	-0.5748	0.030758
-0.0161	-0.194554	-0.374	0.118512	-0.5817	-0.0265255
-0.0435	-0.0541285	-0.4764	0.141782	-0.5658	-0.0666445
-0.1345	0.091024	-0.5049	-7.40E-05	-0.5334	-0.0975655
-0.2592	0.178054	-0.5004	-0.064112	-0.3802	-0.331489
-0.3799	0.186038	-0.4795	-0.0970225	-0.2234	-0.355668
-0.4622	0.117585	-0.4591	-0.096175	-0.1361	-0.240363
-0.4935	0.016708	-0.3879	-0.204379	-0.1469	-0.0617525
-0.496	-0.040992	-0.2718	-0.306753	-0.2214	0.0629545
-0.4808	-0.077582	-0.1687	-0.292281	-0.3313	0.141519
-0.4569	-0.0964355	-0.139	-0.14835	-0.448	0.170003
-0.431	-0.101588	-0.1651	-0.0327925	-0.5497	0.157955
-0.3118	-0.310263	-0.2362	0.0669205	-0.6332	0.138381
-0.2087	-0.287782	-0.3698	0.209802	-0.6184	-0.0372425
-0.1391	-0.225088	-0.4467	0.107863	-0.5081	-0.219838
-0.1405	-0.075118	-0.5278	0.128634	-0.3522	-0.318865
-0.2053	0.0668245	-0.5649	0.0479105	-0.2292	-0.273259
-0.2901	0.120451	-0.5231	-0.11229	-0.1792	-0.146963
-0.3784	0.140289	-0.3733	-0.344399	-0.1858	-0.043362
-0.464	0.147211	-0.2441	-0.317483	-0.2502	0.069657
-0.5147	0.0825785	-0.1552	-0.246775	-0.3294	0.107448
-0.515	-0.0206505	-0.1258	-0.130674	-0.411	0.123615
